brand,model,exact_url,best_url,status,matched_file,note
CHERY,Omoda 5 RZ (Facelift),/cars/Omoda 5 RZ (Facelift).png,/cars/Omoda 5 RZ (Facelift).png,OK_EXACT,Omoda 5 RZ (Facelift).png,
CHERY,Omoda 5 Rs,/cars/Omoda 5 Rs.jpg,/cars/Omoda 5 Rs.jpg,OK_EXACT,Omoda 5 Rs.jpg,
CHERY,OmodaE5 Pure,/cars/OmodaE5 Pure.webp,/cars/OmodaE5 Pure.webp,OK_EXACT,OmodaE5 Pure.webp,
CHERY,Omoda E5,/cars/OmodaE5.webp,/cars/OmodaE5.webp,OK_EXACT,OmodaE5.webp,
CHERY,iCar 03 RWD,/cars/iCar 03 RWD.jpg,/cars/iCar 03 RWD.jpg,OK_EXACT,iCar 03 RWD.jpg,
CHERY,Tiggo 5X  Classic,/cars/Tiggo 5X Classic.jpg,/cars/Tiggo 5X Classic.jpg,OK_EXACT,Tiggo 5X Classic.jpg,
CHERY,Tiggo 5X  Champion,/cars/Tiggo 5X Champion.jpg,/cars/Tiggo 5X Champion.jpg,OK_EXACT,Tiggo 5X Champion.jpg,
CHERY,Tiggo Cross Comfort,/cars/Tiggo Cross Comfort.jpg,/cars/Tiggo Cross Comfort.jpg,OK_EXACT,Tiggo Cross Comfort.jpg,
CHERY,Tiggo Cross  Premium,,/cars/default.jpg,MISS,,
CHERY,Tiggo Cross  Sport,,/cars/default.jpg,MISS,,
CHERY,Tiggo 8  Pro Max Fwd,/cars/Tiggo 8 Pro Max Fwd.jpeg,/cars/Tiggo 8 Pro Max Fwd.jpeg,OK_EXACT,Tiggo 8 Pro Max Fwd.jpeg,
CHERY,Tiggo 8 Csh Fwd,/cars/Tiggo 8 Csh Fwd.webp,/cars/Tiggo 8 Csh Fwd.webp,OK_EXACT,Tiggo 8 Csh Fwd.webp,
CHERY,"Tiggo 8  1,6 Premium","/cars/Tiggo 8 1,6 Premium.png","/cars/Tiggo 8 1,6 Premium.png",OK_EXACT,"Tiggo 8 1,6 Premium.png",
CHERY,Tiggo 8  Pro Premium,/cars/Tiggo 8 Pro Premium.jpg,/cars/Tiggo 8 Pro Premium.jpg,OK_EXACT,Tiggo 8 Pro Premium.jpg,
CHERY,Tiggo 8  Pro Luxury,/cars/Tiggo 8 Pro Luxury.jpg,/cars/Tiggo 8 Pro Luxury.jpg,OK_EXACT,Tiggo 8 Pro Luxury.jpg,
CHERY,Omoda 5 GT 4X4,/cars/Omoda 5 GT 4X4.webp,/cars/Omoda 5 GT 4X4.webp,OK_EXACT,Omoda 5 GT 4X4.webp,
CHERY,iCar 03 AWD,/cars/iCar 03 AWD.jpeg,/cars/iCar 03 AWD.jpeg,OK_EXACT,iCar 03 AWD.jpeg,
CHERY,"Tiggo 8  1,6   Comfort","/cars/Tiggo 8 1,6 Comfort.png","/cars/Tiggo 8 1,6 Comfort.png",OK_EXACT,"Tiggo 8 1,6 Comfort.png",
CHERY,Tiggo 8  Max  Awd,/cars/Tiggo 8 Max Awd.jpg,/cars/Tiggo 8 Max Awd.jpg,OK_EXACT,Tiggo 8 Max Awd.jpg,
CITROEN,New E0C3 All Electric,/cars/New E0C3 All Electric.jpg,/cars/New E0C3 All Electric.jpg,OK_EXACT,New E0C3 All Electric.jpg,
CITROEN,New C3 Aircross SUV,/cars/New C3 Aircross SUV.jpg,/cars/New C3 Aircross SUV.jpg,OK_EXACT,New C3 Aircross SUV.jpg,
CITROEN,All New C3 Aircross SUV,/cars/All New C3 Aircross SUV.jpg,/cars/All New C3 Aircross SUV.jpg,OK_EXACT,All New C3 Aircross SUV.jpg,
CITROEN,New Citroën C3,/cars/New Citroën C3.jpg,/cars/New Citroën C3.jpg,OK_EXACT,New Citroën C3.jpg,
CITROEN,New Citroën E0C4 Electric,/cars/New Citroën E0C4 Electric.png,/cars/New Citroën E0C4 Electric.png,OK_EXACT,New Citroën E0C4 Electric.png,
CITROEN,New Citroën C5 Aircross,/cars/New Citroën C5 Aircross.png,/cars/New Citroën C5 Aircross.png,OK_EXACT,New Citroën C5 Aircross.png,
DAIHATSU,All New Xenia 1.3 X MT,/cars/All New Xenia 1.3 X MT.jpg,/cars/All New Xenia 1.3 X MT.jpg,OK_EXACT,All New Xenia 1.3 X MT.jpg,
DAIHATSU,All New Xenia 1.3 X CVT,/cars/All New Xenia 1.3 X CVT.jpg,/cars/All New Xenia 1.3 X CVT.jpg,OK_EXACT,All New Xenia 1.3 X CVT.jpg,
DAIHATSU,All New Xenia 1.3 R MT,/cars/All New Xenia 1.3 R MT.jpg,/cars/All New Xenia 1.3 R MT.jpg,OK_EXACT,All New Xenia 1.3 R MT.jpg,
DAIHATSU,All New Xenia 1.3 R CVT,/cars/All New Xenia 1.3 R CVT.jpg,/cars/All New Xenia 1.3 R CVT.jpg,OK_EXACT,All New Xenia 1.3 R CVT.jpg,
DAIHATSU,All New Xenia 1.5 R MT,/cars/All New Xenia 1.5 R MT.png,/cars/All New Xenia 1.5 R MT.png,OK_EXACT,All New Xenia 1.5 R MT.png,
DAIHATSU,All New Xenia 1.5 R CVT,/cars/All New Xenia 1.5 R CVT.png,/cars/All New Xenia 1.5 R CVT.png,OK_EXACT,All New Xenia 1.5 R CVT.png,
DAIHATSU,New Sirion R Cvt (Mc 2022),/cars/New Sirion R Cvt (Mc 2022).png,/cars/New Sirion R Cvt (Mc 2022).png,OK_EXACT,New Sirion R Cvt (Mc 2022).png,
DAIHATSU,Gran Max BV 1.3,/cars/Gran Max BV 1.3.png,/cars/Gran Max BV 1.3.png,OK_EXACT,Gran Max BV 1.3.png,
DAIHATSU,Gran Max BV 1.5,/cars/Gran Max BV 1.5.png,/cars/Gran Max BV 1.5.png,OK_EXACT,Gran Max BV 1.5.png,
DAIHATSU,Gran Max MB 1.3 HI  FF,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max MB 1.3 HI,/cars/Gran Max MB 1.3 HI.png,/cars/Gran Max MB 1.3 HI.png,OK_EXACT,Gran Max MB 1.3 HI.png,
DAIHATSU,Gran Max MB 1.5 HI,/cars/Gran Max MB 1.5 HI.png,/cars/Gran Max MB 1.5 HI.png,OK_EXACT,Gran Max MB 1.5 HI.png,
DAIHATSU,Luxio 1.5 D (New),/cars/Luxio 1.5 D (New).png,/cars/Luxio 1.5 D (New).png,OK_EXACT,Luxio 1.5 D (New).png,
DAIHATSU,Luxio 1.5 X MT (New),/cars/Luxio 1.5 X MT (New).png,/cars/Luxio 1.5 X MT (New).png,OK_EXACT,Luxio 1.5 X MT (New).png,
DAIHATSU,Luxio 1.5 X AT (New),/cars/Luxio 1.5 X AT (New).png,/cars/Luxio 1.5 X AT (New).png,OK_EXACT,Luxio 1.5 X AT (New).png,
DAIHATSU,Luxio 1.5 AK MT,/cars/Luxio 1.5 AK MT.png,/cars/Luxio 1.5 AK MT.png,OK_EXACT,Luxio 1.5 AK MT.png,
DAIHATSU,All New Terios IDS X MT (MC 2023),/cars/All New Terios IDS X MT (MC 2023).png,/cars/All New Terios IDS X MT (MC 2023).png,OK_EXACT,All New Terios IDS X MT (MC 2023).png,
DAIHATSU,All New Terios IDS X AT (MC 2023),/cars/All New Terios IDS X AT (MC 2023).png,/cars/All New Terios IDS X AT (MC 2023).png,OK_EXACT,All New Terios IDS X AT (MC 2023).png,
DAIHATSU,All New Terios IDS R MT (MC 2023),/cars/All New Terios IDS R MT (MC 2023).png,/cars/All New Terios IDS R MT (MC 2023).png,OK_EXACT,All New Terios IDS R MT (MC 2023).png,
DAIHATSU,All New Terios IDS R AT (MC 2023),/cars/All New Terios IDS R AT (MC 2023).png,/cars/All New Terios IDS R AT (MC 2023).png,OK_EXACT,All New Terios IDS R AT (MC 2023).png,
DAIHATSU,All New Terios IDS Custom MT (MC 2023),/cars/All New Terios IDS Custom MT (MC 2023).png,/cars/All New Terios IDS Custom MT (MC 2023).png,OK_EXACT,All New Terios IDS Custom MT (MC 2023).png,
DAIHATSU,All New Terios IDS Custom AT (MC 2023),/cars/All New Terios IDS Custom AT (MC 2023).png,/cars/All New Terios IDS Custom AT (MC 2023).png,OK_EXACT,All New Terios IDS Custom AT (MC 2023).png,
DAIHATSU,Rocky  1.0 R ASA CVT,/cars/Rocky 1.0 R ASA CVT.png,/cars/Rocky 1.0 R ASA CVT.png,OK_EXACT,Rocky 1.0 R ASA CVT.png,
DAIHATSU,Rocky  1.0 R CVT,/cars/Rocky 1.0 R CVT.png,/cars/Rocky 1.0 R CVT.png,OK_EXACT,Rocky 1.0 R CVT.png,
DAIHATSU,Rocky  1.0 R MT,/cars/Rocky 1.0 R MT.png,/cars/Rocky 1.0 R MT.png,OK_EXACT,Rocky 1.0 R MT.png,
DAIHATSU,Rocky  1.2 X CVT,/cars/Rocky 1.2 X CVT.jpg,/cars/Rocky 1.2 X CVT.jpg,OK_EXACT,Rocky 1.2 X CVT.jpg,
DAIHATSU,Rocky  1.2 X MT,/cars/Rocky 1.2 X MT.png,/cars/Rocky 1.2 X MT.png,OK_EXACT,Rocky 1.2 X MT.png,
DAIHATSU,Rocky  1.2 M CVT,/cars/Rocky 1.2 M CVT.png,/cars/Rocky 1.2 M CVT.png,OK_EXACT,Rocky 1.2 M CVT.png,
DAIHATSU,Rocky  1.2 M MT,/cars/Rocky 1.2 M MT.png,/cars/Rocky 1.2 M MT.png,OK_EXACT,Rocky 1.2 M MT.png,
DAIHATSU,Gran Max PU 1.3 STD,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 30WAY,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 Deckless,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 Gateless,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 STD,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 STD AC PS,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 30WAY,,/cars/default.jpg,MISS,,
DAIHATSU,All New Ayla 1.0 M MT (FMC 2023),/cars/All New Ayla 1.0 M MT (FMC 2023).png,/cars/All New Ayla 1.0 M MT (FMC 2023).png,OK_EXACT,All New Ayla 1.0 M MT (FMC 2023).png,
DAIHATSU,All New Ayla 1.0 X MT (FMC 2023),/cars/All New Ayla 1.0 X MT (FMC 2023).png,/cars/All New Ayla 1.0 X MT (FMC 2023).png,OK_EXACT,All New Ayla 1.0 X MT (FMC 2023).png,
DAIHATSU,All New Ayla 1.0 X CVT (FMC 2023),/cars/All New Ayla 1.0 X CVT (FMC 2023).png,/cars/All New Ayla 1.0 X CVT (FMC 2023).png,OK_EXACT,All New Ayla 1.0 X CVT (FMC 2023).png,
DAIHATSU,All New Ayla 1.2 R MT (FMC 2023),/cars/All New Ayla 1.2 R MT (FMC 2023).png,/cars/All New Ayla 1.2 R MT (FMC 2023).png,OK_EXACT,All New Ayla 1.2 R MT (FMC 2023).png,
DAIHATSU,All New Ayla 1.2 R CVT (FMC 2023),/cars/All New Ayla 1.2 R CVT (FMC 2023).png,/cars/All New Ayla 1.2 R CVT (FMC 2023).png,OK_EXACT,All New Ayla 1.2 R CVT (FMC 2023).png,
DAIHATSU,New Sigra 1.0 D MT 2022,/cars/New Sigra 1.0 D MT 2022.png,/cars/New Sigra 1.0 D MT 2022.png,OK_EXACT,New Sigra 1.0 D MT 2022.png,
DAIHATSU,New Sigra 1.0 M MT 2022,/cars/New Sigra 1.0 M MT 2022.png,/cars/New Sigra 1.0 M MT 2022.png,OK_EXACT,New Sigra 1.0 M MT 2022.png,
DAIHATSU,New Sigra 1.2 X MT 2022,/cars/New Sigra 1.2 X MT 2022.png,/cars/New Sigra 1.2 X MT 2022.png,OK_EXACT,New Sigra 1.2 X MT 2022.png,
DAIHATSU,New Sigra 1.2 X AT 2022,/cars/New Sigra 1.2 X AT 2022.png,/cars/New Sigra 1.2 X AT 2022.png,OK_EXACT,New Sigra 1.2 X AT 2022.png,
DAIHATSU,New Sigra 1.2 R MT 2022,/cars/New Sigra 1.2 R MT 2022.png,/cars/New Sigra 1.2 R MT 2022.png,OK_EXACT,New Sigra 1.2 R MT 2022.png,
DAIHATSU,New Sigra 1.2 R AT 2022,/cars/New Sigra 1.2 R AT 2022.png,/cars/New Sigra 1.2 R AT 2022.png,OK_EXACT,New Sigra 1.2 R AT 2022.png,
DENZA,D9 Advanced,/cars/D9 Advanced.png,/cars/D9 Advanced.png,OK_EXACT,D9 Advanced.png,
DFSK,GELORA EC35 BLIND VAN (4X2) A/T,,/cars/default.jpg,MISS,,
DFSK,GELORA EC36 MINI BUS 1.5 (4X2) A/T,,/cars/default.jpg,MISS,,
DFSK,DXK1021TYQ1 1.5 AC STD (4X2) MT,/cars/DXK1021tyq115acstd4x2MT.png,/cars/DXK1021tyq115acstd4x2MT.png,OK_EXACT,DXK1021tyq115acstd4x2MT.png,
FORD,Everest Sport 2.0L (4x2) A/T,/cars/Everest Sport 2.0L (4x2) AT.jpg,/cars/Everest Sport 2.0L (4x2) AT.jpg,OK_EXACT,Everest Sport 2.0L (4x2) AT.jpg,
FORD,Everest Titanium 2.0L (4x4) A/T,/cars/Everest Titanium 2.0L (4x4) AT.jpg,/cars/Everest Titanium 2.0L (4x4) AT.jpg,OK_EXACT,Everest Titanium 2.0L (4x4) AT.jpg,
FORD,Everest XLT 2.0L (4x4) A/T,/cars/Everest XLT 2.0L (4x4) AT.jpg,/cars/Everest XLT 2.0L (4x4) AT.jpg,OK_EXACT,Everest XLT 2.0L (4x4) AT.jpg,
FORD,Everest Titanium 2.0L (4x4) A/T MY22,/cars/Everest Titanium 2.0L (4x4) AT MY22.webp,/cars/Everest Titanium 2.0L (4x4) AT MY22.webp,OK_EXACT,Everest Titanium 2.0L (4x4) AT MY22.webp,
FORD,Ranger DC Wildtrak 2.0L (4x4) A/T,/cars/Ranger DC Wildtrak 2.0L (4x4) AT.jpg,/cars/Ranger DC Wildtrak 2.0L (4x4) AT.jpg,OK_EXACT,Ranger DC Wildtrak 2.0L (4x4) AT.jpg,
FORD,Ranger DC XLT 2.0L (4x4) A/T,/cars/Ranger DC XLT 2.0L (4x4) AT.jpg,/cars/Ranger DC XLT 2.0L (4x4) AT.jpg,OK_EXACT,Ranger DC XLT 2.0L (4x4) AT.jpg,
